Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Day's Gain Realized $,Available For Withdrawal,Intraday Marginable Securities,Intraday Non-Marginable Securities
"Individual Brokerage -7458",4429.84,.00,.00,.00,.00,4.55,.00,.00,.00

SEARCH CRITERIA
Account,Start Date,End  Date,Symbol,Security Type,Covered,Term
"Individual Brokerage -7458",12/03/2025,12/03/2025,All,Stocks  Options  Mutual Funds  Bonds  ETFs  ,All,All,


TAXABLE G&L SUMMARY
Total Gain Realized,Short-Term Gain Realized,Long-Term Gain Realized,Deferred Loss,Total Commissions & Fees
4.55,4.55,.00,.00,.02,
TAXABLE G&L DETAILS
Symbol,Quantity,Date,Cost/Share $,Total Cost $,Date,Price/Share $,Proceeds $,Gain $,Deferred Loss $,Term,Lot Selection
ZTS,1,--,--,127.89,--,--,125.249834,-2.64,--,Short,--
    Sell,1,11/25/2025,127.89,127.89,12/03/2025,125.25,125.249834,-2.64,--,Short,FIFO,
IP,3,--,--,116.32,--,--,115.770702,-.55,--,Short,--
    Sell,3,11/25/2025,38.77,116.32,12/03/2025,38.59,115.770702,-.55,--,Short,FIFO,
HST,8,--,--,143.10,--,--,140.318672,-2.78,--,Short,--
    Sell,8,11/25/2025,17.89,143.10,12/03/2025,17.54,140.318672,-2.78,--,Short,FIFO,
HIG,1,--,--,137.95,--,--,135.300734,-2.65,--,Short,--
    Sell,1,11/25/2025,137.95,137.95,12/03/2025,135.30,135.300734,-2.65,--,Short,FIFO,
GNRC,1,--,--,148.08,--,--,154.499834,6.42,--,Short,--
    Sell,1,11/25/2025,148.08,148.08,12/03/2025,154.50,154.499834,6.42,--,Short,FIFO,
IRM,3,--,--,249.30,--,--,248.969502,-.33,--,Short,--
    Sell,3,12/03/2025,83.10,249.30,12/03/2025,82.99,248.969502,-.33,--,Short,FIFO,
JCI,2,--,--,231.24,--,--,229.819068,-1.42,--,Short,--
    Sell,1,11/25/2025,114.49,114.49,12/03/2025,114.91,114.909534,.42,--,Short,FIFO,
    Sell,1,11/26/2025,116.75,116.75,12/03/2025,114.91,114.909534,-1.84,--,Short,FIFO,
LW,9,--,--,545.65,--,--,543.430106,-2.22,--,Short,--
    Sell,5,12/03/2025,60.65,303.25,12/03/2025,60.22,301.09917,-2.15,--,Short,FIFO,
    Sell,3,12/03/2025,60.60,181.80,12/03/2025,60.58,181.748202,-.05,--,Short,FIFO,
    Sell,1,12/03/2025,60.60,60.60,12/03/2025,60.58,60.582734,.00,--,Short,FIFO,
L,1,--,--,107.65,--,--,106.745834,-.90,--,Short,--
    Sell,1,11/25/2025,107.65,107.65,12/03/2025,106.75,106.745834,-.90,--,Short,FIFO,
KO,2,--,--,145.82,--,--,142.279668,-3.54,--,Short,--
    Sell,2,11/26/2025,72.91,145.82,12/03/2025,71.14,142.279668,-3.54,--,Short,FIFO,
K,1,--,--,83.46,--,--,83.220334,-.24,--,Short,--
    Sell,1,11/24/2025,83.46,83.46,12/03/2025,83.22,83.220334,-.24,--,Short,FIFO,
GILD,2,--,--,254.35,--,--,248.589668,-5.76,--,Short,--
    Sell,1,11/25/2025,127.03,127.03,12/03/2025,124.29,124.294834,-2.74,--,Short,FIFO,
    Sell,1,11/25/2025,127.32,127.32,12/03/2025,124.29,124.294834,-3.03,--,Short,FIFO,
GEN,9,--,--,240.30,--,--,240.154506,-.14,--,Short,--
    Sell,9,12/03/2025,26.70,240.30,12/03/2025,26.68,240.154506,-.14,--,Short,FIFO,
BK,2,--,--,226.47,--,--,226.439668,-.03,--,Short,--
    Sell,2,12/03/2025,113.23,226.47,12/03/2025,113.22,226.439668,-.03,--,Short,FIFO,
BAC,4,--,--,215.06,--,--,215.059336,.00,--,Short,--
    Sell,4,12/03/2025,53.77,215.06,12/03/2025,53.76,215.059336,.00,--,Short,FIFO,
APTV,1,--,--,76.43,--,--,78.492634,2.06,--,Short,--
    Sell,1,11/25/2025,76.43,76.43,12/03/2025,78.49,78.492634,2.06,--,Short,FIFO,
APO,1,--,--,130.30,--,--,132.606334,2.31,--,Short,--
    Sell,1,11/25/2025,130.30,130.30,12/03/2025,132.61,132.606334,2.31,--,Short,FIFO,
BRO,1,--,--,80.58,--,--,80.374834,-.21,--,Short,--
    Sell,1,11/26/2025,80.58,80.58,12/03/2025,80.37,80.374834,-.21,--,Short,FIFO,
BX,1,--,--,143.78,--,--,147.269834,3.49,--,Short,--
    Sell,1,11/25/2025,143.78,143.78,12/03/2025,147.27,147.269834,3.49,--,Short,FIFO,
FITB,5,--,--,221.82,--,--,221.79967,-.03,--,Short,--
    Sell,5,12/03/2025,44.36,221.82,12/03/2025,44.36,221.79967,-.03,--,Short,FIFO,
DOV,1,--,--,188.86,--,--,188.732034,-.13,--,Short,--
    Sell,1,12/03/2025,188.86,188.86,12/03/2025,188.73,188.732034,-.13,--,Short,FIFO,
DHI,1,--,--,146.58,--,--,160.079834,13.50,--,Short,--
    Sell,1,11/24/2025,146.58,146.58,12/03/2025,160.08,160.079834,13.50,--,Short,FIFO,
CCI,1,--,--,90.59,--,--,88.588734,-2.00,--,Short,--
    Sell,1,11/26/2025,90.59,90.59,12/03/2025,88.59,88.588734,-2.00,--,Short,FIFO,
MAS,3,--,--,195.26,--,--,195.306402,.05,--,Short,--
    Sell,3,12/03/2025,65.08,195.26,12/03/2025,65.10,195.306402,.05,--,Short,FIFO,
MHK,1,--,--,115.66,--,--,115.789834,.13,--,Short,--
    Sell,1,11/26/2025,115.66,115.66,12/03/2025,115.79,115.789834,.13,--,Short,FIFO,
UBER,2,--,--,181.79,--,--,181.780068,.00,--,Short,--
    Sell,2,12/03/2025,90.90,181.79,12/03/2025,90.89,181.780068,.00,--,Short,FIFO,
TXT,4,--,--,333.16,--,--,333.959336,.80,--,Short,--
    Sell,4,12/03/2025,83.29,333.16,12/03/2025,83.49,333.959336,.80,--,Short,FIFO,
TGT,2,--,--,184.19,--,--,184.190068,.00,--,Short,--
    Sell,2,12/03/2025,92.10,184.19,12/03/2025,92.10,184.190068,.00,--,Short,FIFO,
SWK,2,--,--,143.94,--,--,143.419668,-.52,--,Short,--
    Sell,2,11/26/2025,71.97,143.94,12/03/2025,71.71,143.419668,-.52,--,Short,FIFO,
USB,4,--,--,202.19,--,--,202.207736,.00,--,Short,--
    Sell,4,12/03/2025,50.55,202.19,12/03/2025,50.55,202.207736,.00,--,Short,FIFO,
VLTO,2,--,--,205.67,--,--,205.616668,-.05,--,Short,--
    Sell,2,12/03/2025,102.83,205.67,12/03/2025,102.81,205.616668,-.05,--,Short,FIFO,
WY,1,--,--,22.43,--,--,22.149834,-.28,--,Short,--
    Sell,1,11/26/2025,22.43,22.43,12/03/2025,22.15,22.149834,-.28,--,Short,FIFO,
WFC,1,--,--,85.33,--,--,86.989834,1.66,--,Short,--
